Source,Word,Count
P,וְתֻבָ֑ל,1
P,וּמֶ֖שֶׁךְ,1
P,וְתִירָֽס,1
P,וּבְנֵ֖י,10
P,גֹּ֑מֶר,1
P,אַשְׁכֲּנַ֥ז,1
P,וְרִיפַ֖ת,1
P,וְתֹגַרְמָֽה,1
P,וּבְנֵ֥י,8
P,יָוָ֖ן,1
P,אֱלִישָׁ֣ה,1
P,וְתַרְשִׁ֑ישׁ,1
P,כִּתִּ֖ים,1
P,וְדֹדָנִֽים,1
P,מֵ֠אֵלֶּה,1
P,נִפְרְד֞וּ,1
P,אִיֵּ֤י,1
P,הַגּוֹיִם֙,1
P,בְּאַרְצֹתָ֔ם,1
P,אִ֖ישׁ,15
P,לִלְשֹׁנ֑וֹ,1
P,לְמִשְׁפְּחֹתָ֖ם,22
P,בְּגוֹיֵהֶֽם,2
P,חָ֑ם,1
P,כּ֥וּשׁ,1
P,וּמִצְרַ֖יִם,2
P,וּפ֥וּט,1
P,וּכְנָֽעַן,1
P,וּבְנֵ֣י,17
P,כ֔וּשׁ,1
P,סְבָא֙,1
P,וַֽחֲוִילָ֔ה,1
P,וְסַבְתָּ֥ה,1
P,וְרַעְמָ֖ה,1
P,וְסַבְתְּכָ֑א,1
P,רַעְמָ֖ה,1
P,שְׁבָ֥א,1
P,וּדְדָֽן,1
P,אֵ֣לֶּה,22
P,בְנֵי,34
P,חָ֔ם,1
P,לִלְשֹֽׁנֹתָ֑ם,1
P,בְּאַרְצֹתָ֖ם,2
P,בְּנֵ֥י,66
P,עֵילָ֣ם,1
P,וְאַשּׁ֑וּר,1
P,וְאַרְפַּכְשַׁ֖ד,1
P,וְל֥וּד,1
P,וַֽאֲרָֽם,1
P,אֲרָ֑ם,5
P,ע֥וּץ,2
P,וְח֖וּל,1
P,וְגֶ֥תֶר,1
P,וָמַֽשׁ,1
P,שֵׁ֔ם,1
P,לִלְשֹׁנֹתָ֑ם,1
P,לְגוֹיֵהֶֽם,1
P,מִשְׁפְּחֹ֧ת,1
P,לְתוֹלְדֹתָ֖ם,1
P,בְּגוֹיֵהֶ֑ם,1
P,וּמֵאֵ֜לֶּה,1
P,נִפְרְד֧וּ,1
P,הַגּוֹיִ֛ם,1
P,אַחַ֥ר,1
P,הַמַּבּֽוּל,1
P,וַיָּ֣מׇת,2
P,הָרָ֔ן,1
P,תֶּ֣רַח,1
P,אָבִ֑יו,3
P,בְּאֶ֥רֶץ,10
P,מוֹלַדְתּ֖וֹ,1
P,בְּא֥וּר,1
P,כַּשְׂדִּֽים,1
P,וַיִּקַּ֨ח,12
P,אַבְרָ֧ם,2
P,וְנָח֛וֹר,1
P,לָהֶ֖ם,19
P,נָשִׁ֑ים,1
P,שֵׁ֤ם,1
P,אֵֽשֶׁת,5
P,אַבְרָם֙,1
P,שָׂרָ֔י,1
P,וְשֵׁ֤ם,1
P,נָחוֹר֙,1
P,מִלְכָּ֔ה,1
P,בַּת,24
P,הָרָ֥ן,1
P,אֲבִֽי,1
P,מִלְכָּ֖ה,2
P,וַֽאֲבִ֥י,1
