Book,Chapter,Verse,Depth
Genesis,36,33,5
Genesis,36,34,6
Genesis,36,35,7
Genesis,36,36,4
Genesis,36,37,6
Genesis,36,38,8
Genesis,36,39,9
Genesis,36,40,2
Genesis,36,41,4
Genesis,36,42,5
Genesis,36,43,7
Genesis,37,1,5
Genesis,37,2,8
Genesis,37,3,6
Genesis,37,4,7
Genesis,37,5,5
Genesis,37,6,5
Genesis,37,7,5
Genesis,37,8,9
Genesis,37,9,6
Genesis,37,10,6
Genesis,37,11,5
Genesis,37,12,5
Genesis,37,13,6
Genesis,37,14,5
Genesis,37,15,6
Genesis,37,16,5
Genesis,37,17,6
Genesis,37,18,5
Genesis,37,19,6
Genesis,37,20,9
Genesis,37,21,5
Genesis,37,22,11
Genesis,37,23,6
Genesis,37,24,4
Genesis,37,25,6
Genesis,37,26,6
Genesis,37,27,6
Genesis,37,28,6
Genesis,37,29,5
Genesis,37,30,4
Genesis,37,31,6
Genesis,37,32,6
Genesis,37,33,6
Genesis,37,34,6
Genesis,37,35,7
Genesis,37,36,6
Genesis,38,1,7
Genesis,38,2,4
Genesis,38,3,6
Genesis,38,4,5
Genesis,38,5,6
Genesis,38,6,4
Genesis,38,7,5
Genesis,38,8,6
Genesis,38,9,6
Genesis,38,10,8
Genesis,38,11,9
Genesis,38,12,6
Genesis,38,13,5
Genesis,38,14,8
Genesis,38,15,3
Genesis,38,16,8
Genesis,38,17,7
Genesis,38,18,7
Genesis,38,19,6
Genesis,38,20,6
Genesis,38,21,5
Genesis,38,22,6
Genesis,38,23,5
Genesis,38,24,6
Genesis,38,25,7
Genesis,38,26,7
Genesis,38,27,3
Genesis,38,28,8
Genesis,38,29,9
Genesis,38,30,5
Genesis,39,1,7
Genesis,39,2,4
Genesis,39,3,6
Genesis,39,4,5
Genesis,39,5,7
Genesis,39,6,11
Genesis,39,7,6
Genesis,39,8,6
Genesis,39,9,6
Genesis,39,10,6
Genesis,39,11,8
Genesis,39,12,3
Genesis,39,13,5
Genesis,39,14,9
Genesis,39,15,6
Genesis,39,16,5
Genesis,39,17,7
Genesis,39,18,5
Genesis,39,19,7
Genesis,39,20,8
Genesis,39,21,7
Genesis,39,22,6
Genesis,39,23,5
Genesis,40,1,6
Genesis,40,2,6
Genesis,40,3,6
Genesis,40,4,6
Genesis,40,5,5
Genesis,40,6,6
Genesis,40,7,6
Genesis,40,8,5
Genesis,40,9,6
Genesis,40,10,4
Genesis,40,11,8
Genesis,40,12,4
Genesis,40,13,6
Genesis,40,14,7
Genesis,40,15,5
Genesis,40,16,4
Genesis,40,17,6
Genesis,40,18,5
Genesis,40,19,6
Genesis,40,20,9
Genesis,40,21,5
Genesis,40,22,4
Genesis,40,23,4
Genesis,41,1,5
Genesis,41,2,4
Genesis,41,3,5
Genesis,41,4,6
Genesis,41,5,7
Genesis,41,6,5
Genesis,41,7,5
Genesis,41,8,8
Genesis,41,9,4
Genesis,41,10,6
Genesis,41,11,7
Genesis,41,12,6
Genesis,41,13,6
Genesis,41,14,7
Genesis,41,15,8
Genesis,41,16,5
Genesis,41,17,5
Genesis,41,18,3
Genesis,41,19,4
Genesis,41,20,5
Genesis,41,21,6
Genesis,41,22,6
Genesis,41,23,4
Genesis,41,24,6
Genesis,41,25,5
Genesis,41,26,5
Genesis,41,27,2
Genesis,41,28,6
Genesis,41,29,5
Genesis,41,30,8
Genesis,41,31,5
Genesis,41,32,6
Genesis,41,33,6
Genesis,41,34,5
Genesis,41,35,6
Genesis,41,36,7
Genesis,41,37,7
Genesis,41,38,5
Genesis,41,39,6
Genesis,41,40,6
Genesis,41,41,6
Genesis,41,42,7
Genesis,41,43,5
Genesis,41,44,3
Genesis,41,45,6
Genesis,41,46,7
Genesis,41,47,5
Genesis,41,48,7
Genesis,41,49,7
Genesis,41,50,9
Genesis,41,51,6
Genesis,41,52,6
Genesis,41,53,7
Genesis,41,54,6
Genesis,41,55,7
Genesis,41,56,5
Genesis,41,57,6
Genesis,42,1,5
Genesis,42,2,8
Genesis,42,3,5
Genesis,42,4,6
Genesis,42,5,7
Genesis,42,6,6
Genesis,42,7,8
Genesis,42,8,4
Genesis,42,9,10
Genesis,42,10,5
Genesis,42,11,6
Genesis,42,12,4
