Book,Chapter,Verse,Total Words,Unique Words
Genesis,31,49,11,11
Genesis,31,50,17,17
Genesis,31,51,12,12
Genesis,31,52,25,22
Genesis,31,53,13,13
Genesis,31,54,12,12
Genesis,32,1,12,12
Genesis,32,2,7,7
Genesis,32,3,12,12
Genesis,32,4,11,11
Genesis,32,5,17,17
Genesis,32,6,13,13
Genesis,32,7,17,16
Genesis,32,8,17,16
Genesis,32,9,12,11
Genesis,32,10,16,15
Genesis,32,11,19,18
Genesis,32,12,16,16
Genesis,32,13,14,14
Genesis,32,14,11,11
Genesis,32,15,8,8
Genesis,32,16,12,12
Genesis,32,17,17,16
Genesis,32,18,17,17
Genesis,32,19,12,12
Genesis,32,20,21,18
Genesis,32,21,20,20
Genesis,32,22,9,9
Genesis,32,23,18,17
Genesis,32,24,8,7
Genesis,32,25,9,9
Genesis,32,26,14,14
Genesis,32,27,11,11
Genesis,32,28,6,6
Genesis,32,29,16,16
Genesis,32,30,14,14
Genesis,32,31,13,13
Genesis,32,32,11,11
Genesis,32,33,23,22
Genesis,33,1,21,21
Genesis,33,2,15,12
Genesis,33,3,11,10
Genesis,33,4,9,9
Genesis,33,5,19,17
Genesis,33,6,5,5
Genesis,33,7,10,10
Genesis,33,8,13,12
Genesis,33,9,10,10
Genesis,33,10,21,21
Genesis,33,11,17,17
Genesis,33,12,5,5
Genesis,33,13,17,17
Genesis,33,14,20,18
Genesis,33,15,16,16
Genesis,33,16,6,6
Genesis,33,17,15,15
Genesis,33,18,15,15
Genesis,33,19,15,15
Genesis,33,20,8,8
Genesis,34,1,10,10
Genesis,34,2,13,13
Genesis,34,3,12,12
Genesis,34,4,12,12
Genesis,34,5,16,15
Genesis,34,6,8,8
Genesis,34,7,22,22
Genesis,34,8,14,14
Genesis,34,9,9,9
Genesis,34,10,9,9
Genesis,34,11,13,13
Genesis,34,12,14,14
Genesis,34,13,15,15
Genesis,34,14,18,18
Genesis,34,15,11,11
Genesis,34,16,13,13
Genesis,34,17,9,9
Genesis,34,18,8,8
Genesis,34,19,14,14
Genesis,34,20,12,11
Genesis,34,21,23,23
Genesis,34,22,17,17
Genesis,34,23,12,12
Genesis,34,24,17,14
Genesis,34,25,22,22
Genesis,34,26,14,13
Genesis,34,27,10,10
Genesis,34,28,13,11
Genesis,34,29,14,10
Genesis,34,30,22,22
Genesis,34,31,5,5
Genesis,35,1,19,19
Genesis,35,2,17,16
Genesis,35,3,16,16
Genesis,35,4,21,20
Genesis,35,5,13,13
Genesis,35,6,13,13
Genesis,35,7,15,15
Genesis,35,8,13,13
Genesis,35,9,10,10
Genesis,35,10,19,19
Genesis,35,11,16,16
Genesis,35,12,13,13
Genesis,35,13,7,7
Genesis,35,14,15,15
Genesis,35,15,11,11
Genesis,35,16,12,12
Genesis,35,17,13,13
Genesis,35,18,12,12
Genesis,35,19,7,7
Genesis,35,20,11,11
Genesis,35,21,6,6
Genesis,35,22,19,19
Genesis,35,23,10,10
Genesis,35,24,4,4
Genesis,35,25,6,6
Genesis,35,26,14,14
Genesis,35,27,14,14
Genesis,35,28,7,7
Genesis,35,29,14,14
Genesis,36,1,5,5
Genesis,36,2,18,15
Genesis,36,3,6,6
Genesis,36,4,9,8
Genesis,36,5,16,15
Genesis,36,6,30,24
Genesis,36,7,14,14
Genesis,36,8,7,7
Genesis,36,9,7,7
Genesis,36,10,14,13
Genesis,36,11,8,8
Genesis,36,12,15,15
Genesis,36,13,13,13
Genesis,36,14,18,17
Genesis,36,15,16,15
Genesis,36,16,14,14
Genesis,36,17,23,20
Genesis,36,18,18,17
Genesis,36,19,7,7
Genesis,36,20,10,10
Genesis,36,21,10,10
Genesis,36,22,8,7
Genesis,36,23,8,8
Genesis,36,24,17,16
Genesis,36,25,7,7
Genesis,36,26,7,7
Genesis,36,27,6,6
